,PTS_A,PTS_CON_A,FG_PCT_A,FG3_PCT_A,FT_PCT_A,REB_A,TOV_A,BLK_A,SEASON_A_PCT,H/A_A,ELO_A,STREAK_A,PTS_B,PTS_CON_B,FG_PCT_B,FG3_PCT_B,FT_PCT_B,REB_B,TOV_B,BLK_B,SEASON_B_PCT,H/A_B,ELO_B,STREAK_B,WINNER
0,102.0,106.0,0.424,0.243,0.808,39.0,12.0,0.0,0.0,0.0,1493.6756314749289,-1,109.0,116.0,0.469,0.31,0.774,45.0,19.0,2.0,0.0,0.0,1491.5872354069309,-1,B
1,125.0,99.0,0.457,0.429,0.813,57.0,20.0,7.0,1.0,0.0,1519.7177399664115,1,122.0,121.0,0.475,0.45,0.727,37.0,7.0,6.0,1.0,1.0,1504.0419108440278,1,A
2,113.0,99.0,0.525,0.452,0.5,45.0,27.0,7.0,1.0,1.0,1512.8616851418892,1,107.0,113.0,0.506,0.35,0.842,43.0,22.0,2.0,0.0,0.0,1492.267271820273,-1,B
3,99.0,125.0,0.374,0.303,0.652,47.0,18.0,6.0,0.0,0.0,1480.2822600335885,-1,121.0,122.0,0.511,0.4,0.833,52.0,16.0,6.0,0.0,0.0,1495.9580891559722,-1,B
4,122.0,124.0,0.48,0.276,0.833,46.0,15.0,11.0,0.0,0.0,1495.168135575482,-1,116.0,109.0,0.473,0.35,0.737,40.0,16.0,3.0,1.0,1.0,1508.4127645930691,1,B
5,131.0,119.0,0.505,0.4,0.862,48.0,11.0,8.0,1.0,0.0,1511.6362151830538,1,99.0,113.0,0.427,0.304,0.75,35.0,21.0,5.0,0.0,0.0,1487.1383148581108,-1,A
6,121.0,107.0,0.489,0.235,0.724,50.0,13.0,9.0,1.0,0.0,1512.8616851418892,1,104.0,124.0,0.414,0.229,0.857,37.0,17.0,3.0,0.0,0.0,1483.6197319101107,-1,A
7,113.0,107.0,0.471,0.286,0.767,47.0,18.0,8.0,1.0,0.0,1507.732728179727,1,107.0,121.0,0.459,0.429,0.739,40.0,16.0,8.0,0.0,0.0,1487.1383148581108,-1,A
8,101.0,111.0,0.484,0.229,0.375,44.0,15.0,2.0,0.0,0.0,1489.6224838372807,-1,121.0,114.0,0.529,0.467,0.75,50.0,21.0,3.0,1.0,0.0,1508.4127645930691,1,B
9,111.0,101.0,0.432,0.268,0.857,48.0,12.0,5.0,1.0,0.0,1510.3775161627193,1,120.0,100.0,0.457,0.38,0.789,59.0,11.0,3.0,1.0,0.0,1516.3802680898893,1,A
10,106.0,102.0,0.481,0.367,0.704,48.0,19.0,7.0,1.0,0.0,1506.3243685250711,1,124.0,122.0,0.441,0.323,0.774,54.0,15.0,7.0,1.0,0.0,1504.831864424518,1,B
11,113.0,107.0,0.477,0.357,0.633,41.0,18.0,3.0,1.0,0.0,1507.732728179727,1,107.0,113.0,0.459,0.481,0.696,40.0,20.0,4.0,0.0,0.0,1492.267271820273,-1,A
12,124.0,104.0,0.538,0.4,0.828,46.0,23.0,3.0,1.0,1.0,1516.3802680898893,1,119.0,131.0,0.516,0.37,0.611,42.0,11.0,8.0,0.0,0.0,1488.3637848169462,-1,A
13,123.5,115.5,0.5145,0.39849999999999997,0.741,49.0,18.0,3.0,0.5,0.5,1509.7945650148865,1,113.5,106.0,0.439,0.358,0.7895,44.0,11.0,5.0,1.0,1.0,1517.5710111133503,2,A
14,99.0,131.5,0.35850000000000004,0.2625,0.746,45.0,14.5,6.0,0.0,0.0,1455.2736811385826,-2,105.0,124.5,0.394,0.3195,0.8685,39.0,18.5,5.0,0.0,0.0,1469.470093182659,-2,A
15,98.0,115.0,0.4225,0.35250000000000004,0.739,41.5,16.0,6.0,0.0,0.0,1471.9776397211178,-2,129.5,110.5,0.5335000000000001,0.47800000000000004,0.7625,56.0,17.0,5.0,0.5,0.0,1520.9666680509781,1,A
16,118.5,108.5,0.5135000000000001,0.425,0.7849999999999999,39.0,18.5,3.5,1.0,0.0,1520.0751127690723,2,108.5,122.0,0.45899999999999996,0.3245,0.7885,33.0,10.5,1.5,0.0,0.0,1475.4683018669732,-2,B
17,111.0,98.0,0.4685,0.3205,0.747,47.0,15.0,7.0,1.0,1.0,1522.89340331672,2,124.5,116.5,0.507,0.45,0.6915,50.5,20.0,3.5,1.0,1.0,1517.4843087234876,2,B
